nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,1,30,0,0.9125,14.57634687423706,0
5,1,30,5,0.925,8.63660717010498,187
5,1,30,10,0.9,11.232694864273071,246
5,1,30,15,0.85,14.03916335105896,305
