nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,1,30,0,0.6,3.8025076389312735,0
5,1,30,5,0.5375,3.187074899673462,62
5,1,30,10,0.5625,3.2041468620300293,62
5,1,30,15,0.6,3.241203784942627,61
