nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,1,5,0,0.36346153846153845,4.503386497497559,0
5,1,5,1,0.3346153846153846,0.7596030235290527,415
5,1,5,2,0.35,0.8297059535980225,414
5,1,5,3,0.32884615384615384,0.8542897701263428,413
5,1,5,4,0.3326923076923077,2.4435231685638428,1244
5,1,5,5,0.31346153846153846,3.0797512531280518,1659
5,1,5,6,0.25961538461538464,3.971954107284546,2074
5,1,5,7,0.22115384615384615,3.9660909175872803,2073
5,1,5,8,0.3038461538461538,3.209383249282837,1656
5,1,5,9,0.2865384615384615,3.9619128704071045,2071
5,1,5,10,0.275,3.952016830444336,2070
5,1,5,11,0.2423076923076923,3.958238124847412,2069
5,1,5,12,0.23076923076923078,3.9721734523773193,2069
5,1,5,13,0.27307692307692305,3.9929847717285156,2067
5,1,5,14,0.2519230769230769,4.072293281555176,2067
5,1,5,15,0.27115384615384613,4.0159010887146,2065
