nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,2,5,0,0.4096153846153846,1.5459508895874023,0
5,2,5,1,0.4096153846153846,0.7046482563018799,415
5,2,5,2,0.4115384615384615,0.7188639640808105,414
5,2,5,3,0.4442307692307692,0.5865590572357178,1243
5,2,5,4,0.4307692307692308,0.9408996105194092,1033
5,2,5,5,0.3769230769230769,1.5158851146697998,1657
5,2,5,6,0.38846153846153847,1.618701457977295,2279
5,2,5,7,0.36923076923076925,2.3477933406829834,2694
5,2,5,8,0.3384615384615385,2.5528881549835205,2692
5,2,5,9,0.38269230769230766,2.3229572772979736,2692
5,2,5,10,0.4442307692307692,1.5364656448364258,3103
5,2,5,11,0.36923076923076925,2.9153971672058105,2481
5,2,5,12,0.4423076923076923,2.1729793548583984,2893
5,2,5,13,0.3576923076923077,2.2376821041107178,2687
5,2,5,14,0.47692307692307695,1.6339335441589355,2267
5,2,5,15,0.4461538461538462,1.9321024417877197,2890
