nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,1,10,0,0.6884615384615385,6.600846767425537,0
5,1,10,1,0.6865384615384615,1.250199794769287,415
5,1,10,2,0.6788461538461539,1.2125566005706787,414
5,1,10,3,0.7038461538461539,2.438971996307373,829
5,1,10,4,0.7057692307692308,3.708704948425293,1244
5,1,10,5,0.7096153846153846,3.6060993671417236,1243
5,1,10,6,0.6480769230769231,4.829711675643921,1658
5,1,10,7,0.7096153846153846,3.78582501411438,1241
5,1,10,8,0.6807692307692308,4.8262364864349365,1656
5,1,10,9,0.675,5.021214485168457,1655
5,1,10,10,0.7134615384615385,6.158189296722412,2070
5,1,10,11,0.6923076923076923,6.112506628036499,2069
5,1,10,12,0.6884615384615385,6.056243896484375,2068
5,1,10,13,0.6480769230769231,4.891738653182983,1651
5,1,10,14,0.6884615384615385,6.2063679695129395,2066
5,1,10,15,0.698076923076923,6.232675313949585,2065
