nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,2,5,0,0.20576923076923076,1.5459508895874023,0
5,2,5,1,0.2173076923076923,0.7046482563018799,415
5,2,5,2,0.21346153846153845,0.7188639640808105,414
5,2,5,3,0.29615384615384616,0.5865590572357178,1243
5,2,5,4,0.3403846153846154,0.9408996105194092,1033
5,2,5,5,0.20384615384615384,1.5158851146697998,1657
5,2,5,6,0.225,1.618701457977295,2279
5,2,5,7,0.23461538461538461,2.3477933406829834,2694
5,2,5,8,0.2230769230769231,2.5528881549835205,2692
5,2,5,9,0.23461538461538461,2.3229572772979736,2692
5,2,5,10,0.22692307692307692,1.5364656448364258,3103
5,2,5,11,0.25,2.9153971672058105,2481
5,2,5,12,0.24423076923076922,2.1729793548583984,2893
5,2,5,13,0.2826923076923077,2.2376821041107178,2687
5,2,5,14,0.29615384615384616,1.6339335441589355,2267
5,2,5,15,0.3038461538461538,1.9321024417877197,2890
