nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
10,1,30,0,0.2692307692307692,3.076498031616211,0
10,1,30,2,0.28076923076923077,0,0
10,1,30,4,0.27115384615384613,0,0
10,1,30,6,0.2865384615384615,0,0
10,1,30,8,0.28076923076923077,0,0
10,1,30,10,0.2865384615384615,3.2388482093811035,206
10,1,30,12,0.2692307692307692,0,0
10,1,30,14,0.3269230769230769,3.344081163406372,207
10,1,30,16,0.26346153846153847,0,0
10,1,30,18,0.3019230769230769,2.445900678634644,204
10,1,30,20,0.3057692307692308,2.3205041885375977,205
10,1,30,22,0.2903846153846154,2.3357796669006348,205
10,1,30,24,0.2865384615384615,2.655097723007202,205
10,1,30,26,0.275,2.433962821960449,206
10,1,30,28,0.29423076923076924,2.3280351161956787,204
10,1,30,30,0.3230769230769231,2.32916522026062,204
