nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,1,30,0,0.801923076923077,16.180818557739258,0
5,1,30,1,0.7692307692307693,2.987231492996216,415
5,1,30,2,0.8269230769230769,6.0184526443481445,830
5,1,30,3,0.775,9.115100145339966,1245
5,1,30,4,0.823076923076923,6.137443780899048,828
5,1,30,5,0.8076923076923077,9.347261905670166,1243
5,1,30,6,0.8211538461538461,12.253536701202393,1658
5,1,30,7,0.8269230769230769,12.117712259292603,1657
5,1,30,8,0.801923076923077,12.169725894927979,1656
5,1,30,9,0.8461538461538461,12.316699981689453,1656
5,1,30,10,0.7711538461538462,15.355554103851318,2070
5,1,30,11,0.8307692307692308,15.32986330986023,2069
5,1,30,12,0.8192307692307692,12.32524561882019,1652
5,1,30,13,0.8288461538461539,15.344870328903198,2067
5,1,30,14,0.8326923076923077,15.547978162765503,2066
5,1,30,15,0.7846153846153846,15.516457796096802,2065
