nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,1,30,0,0.4461538461538462,3.7418365478515625,0
5,1,30,1,0.4307692307692308,0,0
5,1,30,2,0.5596153846153846,2.965516328811645,415
5,1,30,3,0.5442307692307692,2.937641143798828,415
5,1,30,4,0.41923076923076924,0,0
5,1,30,5,0.5019230769230769,2.952007532119751,415
5,1,30,6,0.5211538461538462,2.958016395568848,414
5,1,30,7,0.5769230769230769,2.9503166675567627,415
5,1,30,8,0.5076923076923077,2.967780590057373,415
5,1,30,9,0.41923076923076924,0,0
5,1,30,10,0.5365384615384615,3.024043321609497,415
5,1,30,11,0.5826923076923077,2.9930875301361084,413
5,1,30,12,0.5,3.255177974700928,413
5,1,30,13,0.5096153846153846,3.152795553207397,414
5,1,30,14,0.5576923076923077,3.183502674102783,413
5,1,30,15,0.49423076923076925,3.152392864227295,412
