nb_shards,nb_slices,nb_epochs,nb_requests,accuracy,retraining_time,nb_retrained_points
5,1,5,0,0.525,4.503386497497559,0
5,1,5,1,0.5134615384615384,0.7596030235290527,415
5,1,5,2,0.49230769230769234,0.8297059535980225,414
5,1,5,3,0.5019230769230769,0.8542897701263428,413
5,1,5,4,0.475,2.4435231685638428,1244
5,1,5,5,0.4519230769230769,3.0797512531280518,1659
5,1,5,6,0.45384615384615384,3.971954107284546,2074
5,1,5,7,0.4442307692307692,3.9660909175872803,2073
5,1,5,8,0.43846153846153846,3.209383249282837,1656
5,1,5,9,0.48653846153846153,3.9619128704071045,2071
5,1,5,10,0.4807692307692308,3.952016830444336,2070
5,1,5,11,0.3903846153846154,3.958238124847412,2069
5,1,5,12,0.40192307692307694,3.9721734523773193,2069
5,1,5,13,0.4634615384615385,3.9929847717285156,2067
5,1,5,14,0.4288461538461538,4.072293281555176,2067
5,1,5,15,0.4115384615384615,4.0159010887146,2065
